design,material,dT_K,feasible,exit_miss_mm,throughput,reason
drone_20m,invar,12.0,True,0.007787368156636543,0.11507646353127081,
drone_20m,invar,14.0,True,0.00908427286990198,0.11503875756799675,
drone_20m,invar,16.0,True,0.01038117932416012,0.11499527012270251,
drone_20m,invar,18.0,True,0.011678087459164677,0.11494600775800752,
drone_20m,invar,20.0,True,0.012974997216891994,0.1148909779075212,
drone_20m,invar,22.0,True,0.014271908538388339,0.11483018887407653,
drone_20m,invar,24.0,True,0.015568821364985016,0.1147636498275952,
drone_20m,invar,26.0,True,0.016865735637223062,0.11469137080283559,
drone_20m,invar,28.0,True,0.018162651297830915,0.11461336269669926,
drone_20m,invar,30.0,True,0.01945956828762336,0.1145296372657151,
drone_25m,aluminium,-30.0,False,0.48568681639387484,0.0012053208574880024,exit miss > 0.35 mm
drone_25m,aluminium,-28.0,False,0.4533410714252199,0.002037330946466114,exit miss > 0.35 mm
drone_25m,aluminium,-26.0,False,0.42098856359858444,0.00332165204776635,exit miss > 0.35 mm
drone_25m,aluminium,-24.0,False,0.3886297526108188,0.00522358270297798,exit miss > 0.35 mm
drone_25m,aluminium,-22.0,False,0.35626509821961233,0.007923072438419287,exit miss > 0.35 mm
drone_25m,aluminium,-20.0,True,0.32389506023770676,0.01159096283834071,
drone_25m,aluminium,-18.0,True,0.2915200985270887,0.016354487920436526,
drone_25m,aluminium,-16.0,True,0.2591406729925257,0.022255514821840273,
drone_25m,aluminium,-14.0,True,0.22675724357416152,0.029208832502924203,
drone_25m,aluminium,-12.0,True,0.1943702702439678,0.036970906981783166,
drone_25m,aluminium,-10.0,True,0.16198021299814988,0.04513045932805323,
drone_25m,aluminium,-8.0,True,0.12958753185101018,0.05312983013759325,
drone_25m,aluminium,-6.0,True,0.09719268682910893,0.06032013480513527,
drone_25m,aluminium,-4.0,True,0.06479613796597461,0.06604477327174271,
drone_25m,aluminium,-2.0,True,0.032398345294673635,0.06973725432058142,
drone_25m,aluminium,0.0,True,2.9373138269172973e-07,0.07101340501310824,
drone_25m,aluminium,2.0,True,0.03239913137756207,0.06973722910265476,
drone_25m,aluminium,4.0,True,0.06479789536418035,0.06604478728843642,
drone_25m,aluminium,6.0,True,0.0971960631468087,0.06032029505139005,
