N,s,roc_a,roc_b,k,n_exit,r_ring,exit_miss,sep_margin,hole_clear,envelope_mm,opl_m,throughput,sku_a,sku_b,feasible
14,5,500.0,750.0,19,266,67.25060381164951,0.0023278685990251635,-0.3703750865024079,1.2394766056613702,170.50120762329902,32.21625351651592,0.7671042341100777,CM254-250-M01,CM254-375-M01,False
14,5,500.0,750.0,21,294,57.423214690225294,0.5000000066954127,-0.6630663532369492,0.9615024620711963,150.8464293804506,30.402533639807633,0.7459127835533744,CM254-250-M01,CM254-375-M01,False
16,7,150.0,200.0,23,368,70.32026932062675,0.00018910328624230304,-0.5435662537814496,0.9922957916318296,176.6405386412535,50.72944765037951,0.6926824413362805,CM254-075-M01,CM254-100-M01,False
16,7,150.0,200.0,21,336,71.68513874202671,0.03066939332533179,-1.156928040692307,1.8783785892311942,179.37027748405342,47.21426633963264,0.7152181973314035,CM254-075-M01,CM254-100-M01,False
16,7,150.0,200.0,17,272,64.87878366347229,9.816094538849594e-05,-0.851728453185409,1.372911847065136,165.75756732694458,34.58523372527888,0.7625130999383462,CM254-075-M01,CM254-100-M01,False
16,7,150.0,200.0,19,304,59.80661823248802,2.1019980042068153e-06,-0.5979304262381693,2.016923818357039,155.61323646497604,35.63713129550256,0.7384871324400204,CM254-075-M01,CM254-100-M01,False
16,7,200.0,500.0,23,368,67.14616480572062,0.5000003030467268,-0.8683257592042376,0.37532419636556025,170.29232961144123,48.439515641462066,0.6926824413362805,CM254-100-M01,CM254-250-M01,False
16,7,200.0,500.0,21,336,71.55675072411533,5.236308732811715e-07,-0.5140781819639507,0.33193079350083043,179.11350144823066,47.13007133208107,0.7152181973314035,CM254-100-M01,CM254-250-M01,False
16,7,200.0,500.0,19,304,76.72656528952896,7.450258396987009e-06,-0.5497530690420693,3.3619926555286597,189.45313057905793,45.7189018897982,0.7384871324400204,CM254-100-M01,CM254-250-M01,False
16,7,500.0,750.0,13,208,74.91947757673753,0.03708338426173991,0.32576696630722535,1.124781693977575,185.83895515347507,30.534302249911683,0.8129354506736306,CM254-250-M01,CM254-375-M01,True
16,7,500.0,750.0,15,240,61.67848288431312,1.9385166384734926e-07,-0.6553036089793175,0.9608456169566082,159.35696576862625,29.008670867176598,0.7873207291459603,CM254-250-M01,CM254-375-M01,False
16,7,500.0,750.0,23,368,37.13424838002515,0.5001639554587997,-0.6281871689585765,-0.1074350910934978,110.2684967600503,26.78736311463105,0.6926824413362805,CM254-250-M01,CM254-375-M01,False
16,7,250.0,500.0,17,272,76.84239343670964,0.5000000025910907,-0.5813404024451198,0.37805903055858137,189.68478687341928,40.962857156136124,0.7625130999383462,CM254-125-M01,CM254-250-M01,False
16,7,250.0,500.0,19,304,67.27897306174717,2.065458039034328e-06,-0.47635458251821505,1.6035010738005357,170.55794612349433,40.08888316492501,0.7384871324400204,CM254-125-M01,CM254-250-M01,False
16,7,250.0,500.0,21,336,58.56854570043749,1.690291067552238e-06,-0.3345342764582054,0.9825282348278959,153.13709140087497,38.57521897008373,0.7152181973314035,CM254-125-M01,CM254-250-M01,False
