N,s,roc_a,roc_b,r_ring,k,n_exit,res_t,res_s,opl_est,ang_t,ang_s,off_z,w0,waist_frac,exit_miss,sku_a,sku_b,feasible,reason,opl_m,hole_clear,sep_margin,w_max,envelope_mm,throughput
14,5,150.0,200.0,63.98641502091082,29,406,0.0009385537090071949,0.0014174896375269697,46.80664080745522,0.02257395783914274,0.020281319683812284,-6.491533165407222e-07,0.2979285425774255,0.6132277104009615,1.435053449294997e-06,CM254-075-M01,CM254-100-M01,False,miss=0.000 clear=0.31 sep=-0.79 env=164,46.79103099665234,0.31457931270810957,-0.7912250462179684,0.5798527172386826,163.97283004182162,0.6668416716372577
14,5,150.0,200.0,71.4620968855409,25,350,0.01215158477165268,0.007475251694524232,46.58795989270501,0.020961367454972242,0.02040129982936833,0.0001586327215010118,0.3324831597012397,0.5565345241186412,0.6915919011435538,CM254-075-M01,CM254-100-M01,False,no closure (miss 0.69),,,,,,
14,5,150.0,200.0,65.12325606908783,27,378,0.002534810729551751,0.002760674500274618,44.35236309309367,0.022374293832287694,0.0215962080686803,0.0004910089632521573,0.2877492253626216,0.5284532805494677,7.714707554126284e-07,CM254-075-M01,CM254-100-M01,False,miss=0.000 clear=0.33 sep=-1.01 env=166,44.33662727066863,0.327638840554908,-1.0124550609199885,0.568621097734842,166.24651213817566,0.6857867046561738
14,5,150.0,200.0,68.87084079061898,21,294,0.0012995852136672426,0.05098137120552515,37.507493348290375,0.023675008880180037,0.015040342277896766,0.00034705573452540624,0.30659109023730574,0.6284150278967919,0.10630447370392032,CM254-075-M01,CM254-100-M01,False,miss=0.106 clear=0.30 sep=-1.33 env=174,36.466281684650916,0.30000118642406237,-1.3307785284900082,0.7358510448258836,173.74168158123797,0.7459127835533744
14,5,150.0,200.0,69.81248375992045,17,238,0.016181817501434992,0.019510105253546683,32.07522273603326,0.018395629396854747,0.014239564376488482,0.0008990538867350992,0.46302182189224395,0.5807866576441085,0.8075921827061842,CM254-075-M01,CM254-100-M01,False,no closure (miss 0.81),,,,,,
14,5,150.0,200.0,53.74989726429402,23,322,0.00447020471671955,0.015156499843469007,31.171731385876267,0.03915414703090142,0.027434155677456717,-0.0001553568645063859,0.3527441290846036,0.5614935695192269,0.05578697371433783,CM254-075-M01,CM254-100-M01,False,miss=0.056 clear=0.30 sep=-0.96 env=143,31.16894038861817,0.3006250422955097,-0.9628939693331859,0.622711486379171,143.49979452858804,0.7253067522353203
14,5,200.0,250.0,71.73752587896422,31,434,0.00034573876715704444,0.019427639240971573,56.07829767394758,0.04315762582952276,0.024545822927951426,-6.869887979302618e-05,0.357690471586143,0.5510964473518182,3.3276615922635544e-05,CM254-100-M01,CM254-125-M01,False,miss=0.000 clear=0.67 sep=-0.57 env=179,56.082603173317615,0.6724988836855279,-0.5695691066392943,0.6886685200824774,179.47505175792844,0.6484199999982735
14,5,200.0,250.0,67.76679187328955,29,406,0.0029532289230811415,0.035202924982263184,49.553017357099506,0.039203326048343395,0.019148575010180212,0.0003736456719454674,0.4496903536217124,0.560848269234427,0.042520736914294525,CM254-100-M01,CM254-125-M01,False,miss=0.043 clear=0.30 sep=-1.12 env=172,49.55904399526961,0.30001954383630136,-1.124097999994522,0.7477667891537982,171.5335837465791,0.6668416716372577
14,5,200.0,250.0,59.245021557716,33,462,0.007392118093170197,0.10836075718804317,47.040659816212596,0.038457681377938216,0.023365052145613845,0.00014876523426413958,0.3512374418886246,0.5511588508500216,2.73620134527764,CM254-100-M01,CM254-125-M01,False,no closure (miss 2.74),,,,,,
14,5,200.0,250.0,68.44961515084375,21,294,0.0009946948265824318,0.0008124790929233683,34.72620245307715,0.020783917177187257,0.017709411087249098,-0.0018245866393427489,0.34255163543093603,0.547973467324651,3.464476286702522,CM254-100-M01,CM254-125-M01,False,no closure (miss 3.46),,,,,,
