input_angle_sag,w0_waist,waist_frac,family,sku,roc,N,chord_skip,R_ring,n_target,mode_s,input_offset_z,input_angle,size_class,envelope_max,opl_min,feasible,reason,opl_m,n_exit,throughput,exit_miss_mm,hole_margin_mm,ap_margin_mm,sep_margin_mm,min_sep_mm,w_max_mm,w_hole_mm,H_req_mm,stab_tan,stab_sag,aoi_deg,early_exit,polished,envelope_mm
0.034765087240068826,0.22244892806918162,1.0,one_inch,CM254-100-M01,200.0,9,4,66.9600000000006,135,sin,0.0,0.05005268763222056,D170,170.0,16.0,False,never returns to hole,0.0,0,0.0,1.4831181302679077,-inf,-inf,-inf,0.0,0.0,0.2717382625326512,0.0,,,,0.0,False,
0.019707173591321996,0.2,1.0,one_inch,CM254-050-M01,100.0,11,5,49.690000000000346,165,sin,0.0,0.028162767743751566,D170,170.0,16.0,False,never returns to hole,0.0,0,0.0,1.624922491923749,-inf,-inf,-inf,0.0,0.0,0.23825077908740522,0.0,,,,0.0,False,
0.07584666534219044,0.2,1.0,one_inch,CM254-050-M01,100.0,13,6,57.660000000000466,195,sin,0.0,0.05404121172288303,D170,170.0,16.0,False,never returns to hole,0.0,0,0.0,0.5982204897656981,-inf,-inf,-inf,0.0,0.0,0.25040787430404404,0.0,,,,0.0,False,
0.06302923679942211,0.2139314139247605,1.0,one_inch,CM254-050-M01,100.0,15,7,64.17000000000057,225,sin,0.0,0.04481938379673071,D170,170.0,16.0,False,never returns to hole,0.0,0,0.0,0.7914471060347053,-inf,-inf,-inf,0.0,0.0,0.2653932355547866,0.0,,,,0.0,False,
0.03273615562702242,0.3769771041362169,0.0625558307663061,one_inch,CM254-500-M01,1000.0,12,5,54.34429489506039,180,sin,-0.3098651937611753,-0.016180709434044767,D170,170.0,16.0,False,never returns to hole,0.0,0,0.0,0.7656199098471735,-inf,-inf,-inf,0.0,0.0,0.3770049981714482,0.0,,,,0.0,True,
0.06255569322204735,0.2,0.34189996422312385,one_inch,CM254-075-M01,150.0,12,5,67.49335749692207,156,sin,-0.036493255364175074,-0.04703355066273203,D180,180.0,18.0,True,,20.340390282780355,156,0.0960761757762205,3.089425303594857e-05,0.8707295939293522,0.7956438929146827,0.3756648068764017,1.0780064681212889,0.37993695789202364,0.20842950168754412,23.112177113782113,0.09915351245037585,0.16149533038586206,15.191219656555287,0.0,True,170.98671499384415
0.03778525316135366,0.2,1.457942842350524,one_inch,CM254-050-M01,100.0,13,6,61.51831246745246,169,sin,-0.2449014448154683,-0.043071639477726076,D180,180.0,18.0,True,,20.641580428937434,169,0.07893810993515632,3.095349595618902e-07,1.2437131391374048,4.066947113894707,0.4166898991526873,0.9462579278171392,0.40164614401973825,0.30811437128131675,16.375275668289724,-0.2307075433823047,-0.21225827108318773,7.106196528712176,0.0,True,159.03662493490492
0.040547537158242566,0.24223565991794038,1.1456842773920854,one_inch,CM254-200-M01,400.0,16,7,71.75918750206799,176,sin,-0.013944310784315697,-0.030237404735224876,D180,180.0,18.0,True,,24.773884283265517,176,0.071013405013223,1.1434343104446263e-07,3.862054778513331,1.8225363992856725,0.4549217286694016,1.0971487925400227,0.3689920179421403,0.2989841413659236,21.465136408688263,0.641115825649111,0.6550183899983748,11.362471095903055,0.0,True,179.51837500413598
-0.0052285345496780045,0.2,0.7386159647140944,one_inch,CM254-100-M01,200.0,14,5,67.84859826861134,182,cos,7.648470410372681,0.04849159886483117,D180,180.0,18.0,True,,22.251116907255682,182,0.06485712899903753,1.1472287391023982e-06,0.43972059501488037,0.31991493108900393,0.39329207020491397,0.9094862759524159,0.3123652264839364,0.23265210344314308,24.02439999225149,0.3209985244073862,0.4499838659912275,25.803803513744512,0.0,True,171.69719653722268
0.0,0.2,1.0,one_inch,CM254-050-M01,100.0,12,5,60.0000000000005,156,cos,4.502015010271573,-0.037976275768773535,D180,180.0,18.0,False,intermediate spot leaks into hole,18.08216148532457,156,0.07805535377610129,0.08106729854272218,-0.404708822243814,4.712930199160018,0.13918457614572555,0.655295678845829,0.34935235003322396,0.25154646465920905,15.770262646519067,-0.20052341190882972,-0.11926209080650163,15.086994570426066,0.0,False,156.000000000001
