family,sku,roc,N,chord_skip,R_ring,chord_mm,aoi_deg,n_exit,spots_per_mirror,mode_s,amp_ratio,d_norm,extent_norm,A_req_mm,w_typ_mm,th_t,th_s,opl_est_m,phase_err_t,phase_err_s,phase_err_res,throughput_est,envelope_mm
one_inch,CM254-050-M01,100.0,13,3,58.75,77.91691234329343,48.46153846153846,65,5,cos,0.7,0.574917984071122,1.1298354509126038,1.4254614971144188,0.2597617251460126,1.746702094958613,1.0663585738019217,5.064599302314073,0.43830064307728733,0.1982689181494628,0.018489619081435343,0.2841935566162781,153.5
one_inch,CM254-050-M01,100.0,13,3,58.25,77.25378968505264,48.46153846153846,65,5,cos,0.7,0.574917984071122,1.1298354509126038,1.4228656197381442,0.25901551685198076,1.7365543381044128,1.0613286263296393,5.021496329528421,0.22130355244571476,0.12867766754888876,0.01873507653200024,0.2841935566162781,152.5
one_inch,CM254-100-M01,200.0,13,3,64.0,84.87970025482178,48.46153846153846,65,5,sin,1.4,0.2770818008654675,1.6763654679858664,3.2783679078697463,0.30418804190605225,1.2025284333582567,0.769049908475892,5.517180516563416,0.3754681714581487,0.27723840650370946,0.05574917479918229,0.2841935566162781,164.0
one_inch,CM254-100-M01,200.0,13,3,65.0,86.20594557130337,48.46153846153846,65,5,sin,1.4,0.2770818008654675,1.6763654679858664,3.288307106050028,0.3055650273715278,1.2132252231493863,0.7753523838173179,5.603386462134719,0.31982316496527474,0.13242249068897038,0.055787712441189075,0.2841935566162781,166.0
one_inch,CM254-050-M01,100.0,13,5,72.0,134.64233894669974,20.769230769230763,65,5,sin,0.7,0.42850130358526456,1.1649618531758608,2.273753534932563,0.33715317687510327,2.0263950001907203,1.8327082441658242,8.751752031535483,0.23121643837450634,0.25448496563355505,0.0665525928669275,0.2841935566162781,180.0
one_inch,CM254-050-M01,100.0,13,5,72.0,134.64233894669974,20.769230769230763,65,5,cos,1.4,0.16136247033652149,1.714980710396706,6.037998499392643,0.33715317687510327,2.0263950001907203,1.8327082441658242,8.751752031535483,0.23121643837450634,0.25448496563355505,0.0665525928669275,0.2841935566162781,180.0
one_inch,CM254-050-M01,100.0,13,5,72.25,135.10984706804246,20.769230769230763,65,5,sin,0.7,0.42850130358526456,1.1649618531758608,2.278653148912467,0.33820292236383004,2.0319705876296505,1.8372366234947566,8.78214005942276,0.13119674515595747,0.03985969074704698,0.0666141897833945,0.2841935566162781,180.5
one_inch,CM254-050-M01,100.0,13,5,72.25,135.10984706804246,20.769230769230763,65,5,cos,1.4,0.16136247033652149,1.714980710396706,6.051009523412509,0.33820292236383004,2.0319705876296505,1.8372366234947566,8.78214005942276,0.13119674515595747,0.03985969074704698,0.0666141897833945,0.2841935566162781,180.5
one_inch,CM254-075-M01,150.0,13,2,76.75,71.33500690871847,62.30769230769231,65,5,sin,1.4,0.35639039991539734,1.71187367785259,2.489876717771182,0.29368407959325415,1.5941317779310835,0.6777378873003866,4.6367754490667,0.05399200294274564,0.07066552426803341,0.08925682662968557,0.2841935566162781,189.5
one_inch,CM254-075-M01,150.0,13,2,77.0,71.56736849474035,62.30769230769231,65,5,sin,1.4,0.35639039991539734,1.71187367785259,2.4913840943672594,0.2939526868672038,1.5974661549671767,0.6788851637506444,4.651878952158123,0.16274250440331528,0.14523849353478724,0.089285042839466,0.2841935566162781,190.0
