N,R_mm,H_mm,ROC_mm,M_halfLaps,w0_mm,R_ring,n_reflections,chord_mm,AOI_deg,alpha_deg,OPL_m,transmission,w_max_mm,min_spot_sep_mm,mirror_fill_frac,spots_overlap,V_internal_mL,stab_tangential,stab_sagittal,stable,utility_OPL_x_T
8,75.0,40.0,inf,66,1.0,0.99,528,57.40251485476346,67.5,0.15123307010770518,30.308633423977096,0.0008543216727564988,9.626298306612782,0.15151515151514902,1.0,1,966.5160064251456,,,1,0.025893322405735643
8,100.0,40.0,inf,66,1.0,0.99,528,76.53668647301797,67.5,0.11342491782344477,40.41144964330984,2.1063449846658885e-08,12.804710222547689,0.15151515151514902,1.0,1,1596.0911742045405,,,1,8.512045427926378e-07
12,30.0,40.0,inf,44,1.0,0.99,528,15.529142706151244,75.0,0.5590072436006069,8.199777612621258,0.004909281575571158,2.7765645771504626,0.15151515151514902,0.8354097560716771,1,229.12137877454936,,,1,0.0402550171574224
12,50.0,40.0,inf,44,1.0,0.99,528,25.881904510252074,75.0,0.33541115737581373,13.665879743243654,0.004909275949596545,4.431234504352633,0.15151515151514902,1.0,1,494.02047132524086,,,1,0.06708957475358468
12,75.0,40.0,inf,44,1.0,0.99,528,38.82285676537811,75.0,0.22360885732184121,20.49862448074982,0.004828252305534209,6.552086688806895,0.15151515151514902,1.0,1,966.5160064251456,,,1,0.0989725309094603
12,100.0,40.0,inf,44,1.0,0.99,528,51.76380902050415,75.0,0.16770701550334144,27.331408244493872,0.0024971566814443688,8.691457934129641,0.15151515151514902,1.0,1,1596.0911742045405,,,1,0.06825080871102157
16,30.0,40.0,inf,32,1.0,0.99,512,11.705419320967694,78.75,0.764768320960882,5.993708609271047,0.005765737000977035,2.1412147738548217,0.15625000000000014,0.43039281245872185,1,229.12137877454936,,,1,0.03455814750154868
16,50.0,40.0,inf,32,1.0,0.99,512,19.509032201612825,78.75,0.45887843346525264,9.98894484651928,0.0057657370009683954,3.310082233121963,0.15625000000000014,0.8089837069485933,1,494.02047132524086,,,1,0.05759362890220878
16,75.0,40.0,inf,32,1.0,0.99,512,29.263548302419235,78.75,0.3059225894882754,14.98315030560384,0.0057656320820913135,4.837525357239568,0.15625000000000014,1.0,1,966.5160064251456,,,1,0.08638733209278576
16,100.0,40.0,inf,32,1.0,0.99,512,39.01806440322565,78.75,0.22944289602799348,19.97740915602481,0.005705494703895772,6.389417943021367,0.15625000000000014,1.0,1,1596.0911742045405,,,1,0.11398100213725844
24,30.0,40.0,inf,22,1.0,0.99,528,7.8315715332030935,82.5,1.108346621435537,4.135843565572998,0.004909281575571158,1.6452586436130232,0.15151515151514902,0.2184814666036647,1,229.12137877454936,,,1,0.020304020615912043
24,50.0,40.0,inf,22,1.0,0.99,528,13.05261922200516,82.5,0.6650610639232674,6.892247254643499,0.004909281575571158,2.395868711054655,0.15151515151514902,0.3531498099650305,1,494.02047132524086,,,1,0.033835982461502226
24,75.0,40.0,inf,22,1.0,0.99,528,19.578928833007733,82.5,0.44338510533973813,10.337983966570484,0.004909281575523363,3.415350960844654,0.15151515151514902,0.6047306077339167,1,966.5160064251456,,,1,0.05075207421514041
24,100.0,40.0,inf,22,1.0,0.99,528,26.10523844401032,82.5,0.3325417331459891,13.783798057015066,0.004909274131592184,4.467530818352299,0.15151515151514902,0.9487996964761657,1,1596.0911742045405,,,1,0.06766844323639468
