design,item,x_mm,y_mm,z_mm,nx,ny,nz,sagx,sagy,sagz,roc_mm,aperture_r_mm,hole_r_mm
D190_29m_max,mirror_1,63.713662161501915,36.78509999999999,0.0,-0.8660254037844387,-0.49999999999999994,-0.0,0.0,0.0,1.0,1500.0,11.4,0.0
D190_29m_max,mirror_2,36.78510000000001,63.7136621615019,0.0,-0.5000000000000001,-0.8660254037844386,-0.0,0.0,0.0,1.0,1500.0,11.4,0.0
D190_29m_max,mirror_3,4.5048754971315305e-15,73.5702,0.0,-6.123233995736766e-17,-1.0,-0.0,0.0,0.0,1.0,1500.0,11.4,0.0
D190_29m_max,mirror_4,-36.785099999999986,63.713662161501915,0.0,0.49999999999999983,-0.8660254037844388,-0.0,0.0,0.0,1.0,1500.0,11.4,0.0
D190_29m_max,mirror_5,-63.713662161501915,36.78509999999999,0.0,0.8660254037844387,-0.49999999999999994,-0.0,0.0,0.0,1.0,1500.0,11.4,0.0
D190_29m_max,mirror_6,-73.5702,9.009750994263061e-15,0.0,1.0,-1.2246467991473532e-16,-0.0,0.0,0.0,1.0,1500.0,11.4,0.0
D190_29m_max,mirror_7,-63.71366216150192,-36.78509999999998,0.0,0.8660254037844388,0.4999999999999997,-0.0,0.0,0.0,1.0,1500.0,11.4,0.0
D190_29m_max,mirror_8,-36.785100000000035,-63.713662161501894,0.0,0.5000000000000004,0.8660254037844385,-0.0,0.0,0.0,1.0,1500.0,11.4,0.0
D190_29m_max,mirror_9,-1.351462649139459e-14,-73.5702,0.0,1.8369701987210297e-16,1.0,-0.0,0.0,0.0,1.0,1500.0,11.4,0.0
D190_29m_max,mirror_10,36.78510000000001,-63.7136621615019,0.0,-0.5000000000000001,0.8660254037844386,-0.0,0.0,0.0,1.0,1500.0,11.4,0.0
D190_29m_max,mirror_11,63.71366216150189,-36.785100000000035,0.0,-0.8660254037844384,0.5000000000000004,-0.0,0.0,0.0,1.0,1500.0,11.4,0.0
D190_29m_max,launch_ray,-32.31705670369179,-30.990929075704067,-2.3868435279084075,0.9595122001724592,0.2808286423552296,0.021716614679208046,0.4367,0.001654,204.0,28.993853503904212,,1.3
D150_14cm_flight,mirror_0,52.4296,0.0,0.0,-1.0,-0.0,-0.0,0.0,0.0,1.0,1000.0,11.4,1.3
D150_14cm_flight,mirror_1,45.40536551025661,26.214799999999997,0.0,-0.8660254037844387,-0.49999999999999994,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_2,26.214800000000007,45.4053655102566,0.0,-0.5000000000000001,-0.8660254037844386,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_3,3.2103870910288034e-15,52.4296,0.0,-6.123233995736766e-17,-1.0,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_4,-26.21479999999999,45.40536551025661,0.0,0.49999999999999983,-0.8660254037844388,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_5,-45.40536551025661,26.214799999999997,0.0,0.8660254037844387,-0.49999999999999994,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_6,-52.4296,6.420774182057607e-15,0.0,1.0,-1.2246467991473532e-16,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_7,-45.405365510256615,-26.214799999999986,0.0,0.8660254037844388,0.4999999999999997,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_8,-26.214800000000025,-45.405365510256594,0.0,0.5000000000000004,0.8660254037844385,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_9,-9.63116127308641e-15,-52.4296,0.0,1.8369701987210297e-16,1.0,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_10,26.214800000000007,-45.4053655102566,0.0,-0.5000000000000001,0.8660254037844386,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,mirror_11,45.405365510256594,-26.214800000000025,0.0,-0.8660254037844384,0.5000000000000004,-0.0,0.0,0.0,1.0,1000.0,11.4,0.0
D150_14cm_flight,launch_ray,-22.97477936532794,-22.121768681725964,-2.607670693248271,0.9588016357849756,0.2812885428806878,0.0397011191292485,0.2913,0.001654,204.0,20.662379961566458,,1.3
D180_22m,mirror_0,67.8486,0.0,0.0,-1.0,-0.0,-0.0,0.0,0.0,1.0,200.0,11.4,1.3
D180_22m,mirror_1,61.12947633076408,29.438404261891556,0.0,-0.9009688679024191,-0.4338837391175581,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_22m,mirror_2,42.30291017039247,53.04617152138037,0.0,-0.6234898018587336,-0.7818314824680298,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_22m,mirror_3,15.097733839628397,66.14749394245968,0.0,-0.22252093395631445,-0.9749279121818236,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
