run_id,environment,design,perturbation,pass_count,path_m,edge_clear_mm,hole_clear_mm,exit_clear_mm,result
D180_24m_H2-al_flexure-Langs+,drone/al_flexure,D180_24m_H2,launch input_angle_sag=+1max,176,24.06376835758079,0.5849340679994597,2.243501188001641,0.8325337147820898,PASS
D180_24m_H2-al_flexure-Langs-,drone/al_flexure,D180_24m_H2,launch input_angle_sag=-1max,176,24.06376691613327,0.6240245852472772,2.214374307857419,0.8323991388725296,PASS
D180_24m_H2-hybrid-Mdtan+,drone/hybrid,D180_24m_H2,all mirrors dtan=+1max,176,24.063851868289596,0.8329904936131027,2.0754988788790043,0.6943884415406145,PASS
D180_24m_H2-hybrid-Mdtan-,drone/hybrid,D180_24m_H2,all mirrors dtan=-1max,176,24.063668094510923,0.29660182747281905,2.167767665213912,0.6863928069047149,PASS
D180_24m_H2-hybrid-Mdsag+,drone/hybrid,D180_24m_H2,all mirrors dsag=+1max,176,24.063780880642586,0.18033660866515872,2.5855283440375763,0.7269649384229855,PASS
D180_24m_H2-hybrid-Mdsag-,drone/hybrid,D180_24m_H2,all mirrors dsag=-1max,176,24.063755794628893,0.8715490995215519,1.8691776944445837,0.7261981149852429,PASS
D180_24m_H2-hybrid-Mdax+,drone/hybrid,D180_24m_H2,all mirrors dax=+1max,176,24.001533043358425,0.5727766075420666,2.1666326735652874,-1.3611666048674744,FAIL(clearance)
D180_24m_H2-hybrid-Mdax-,drone/hybrid,D180_24m_H2,all mirrors dax=-1max,176,24.126030773604796,0.5235555768467208,2.2371304380939883,-1.4205046105912411,FAIL(clearance)
D180_24m_H2-hybrid-Mtiltt+,drone/hybrid,D180_24m_H2,all mirrors tiltt=+1max,176,24.063774469257318,0.5562477369090779,1.9761378070439048,0.51625363940884,PASS
D180_24m_H2-hybrid-Mtiltt-,drone/hybrid,D180_24m_H2,all mirrors tiltt=-1max,176,24.063782980520262,0.4884593704031143,2.290378217785548,0.5167627445507509,PASS
D180_24m_H2-hybrid-Mtilts+,drone/hybrid,D180_24m_H2,all mirrors tilts=+1max,176,24.06378645822379,0.6396254515122695,2.175794178273925,0.8288138429127352,PASS
D180_24m_H2-hybrid-Mtilts-,drone/hybrid,D180_24m_H2,all mirrors tilts=-1max,176,24.063744182316626,0.5109911760627031,2.20309499980458,0.827310395561468,PASS
D180_24m_H2-hybrid-Lofft+,drone/hybrid,D180_24m_H2,launch input_offset_t=+1max,176,24.06381651624465,0.5239503379937858,2.143831029039684,0.670722887470742,PASS
D180_24m_H2-hybrid-Lofft-,drone/hybrid,D180_24m_H2,launch input_offset_t=-1max,176,24.063718632852378,0.6474476457058805,2.1297216598268744,0.6696662972310704,PASS
D180_24m_H2-hybrid-Loffz+,drone/hybrid,D180_24m_H2,launch input_offset_z=+1max,176,24.063767681903443,0.5113005615795377,2.1814389990159353,0.6598489338250462,PASS
D180_24m_H2-hybrid-Loffz-,drone/hybrid,D180_24m_H2,launch input_offset_z=-1max,176,24.063767401028898,0.6815878404419851,2.058153301938929,0.6605030302219718,PASS
D180_24m_H2-hybrid-Langt+,drone/hybrid,D180_24m_H2,launch input_angle=+1max,176,24.06375448915527,0.520455457656344,2.245960695130944,0.824698952673711,PASS
D180_24m_H2-hybrid-Langt-,drone/hybrid,D180_24m_H2,launch input_angle=-1max,176,24.063780780803555,0.6882526936171691,2.2112447024648496,0.8264392023627141,PASS
D180_24m_H2-hybrid-Langs+,drone/hybrid,D180_24m_H2,launch input_angle_sag=+1max,176,24.063769633917662,0.5504657291265027,2.2690865484557223,0.8287654555498192,PASS
D180_24m_H2-hybrid-Langs-,drone/hybrid,D180_24m_H2,launch input_angle_sag=-1max,176,24.063765669912122,0.6579617780542569,2.18898996567209,0.8288469401788032,PASS
D180_15m_sparse-NOM,nominal,D180_15m_sparse,none,112,15.538230496051236,6.3041455928181565,1.6236120196419859,1.0240499089966288,PASS
D180_15m_sparse-al_flexure-Mdtan+,drone/al_flexure,D180_15m_sparse,all mirrors dtan=+1max,112,15.53821790507696,6.218484400460779,1.6104713951663259,0.9197523983457998,PASS
D180_15m_sparse-al_flexure-Mdtan-,drone/al_flexure,D180_15m_sparse,all mirrors dtan=-1max,112,15.538238758338137,6.36596094586513,1.5732352069837352,0.9202196817795368,PASS
D180_15m_sparse-al_flexure-Mdsag+,drone/al_flexure,D180_15m_sparse,all mirrors dsag=+1max,112,15.538232070593063,6.190308637290755,1.7459518001186767,0.9726305409735385,PASS
D180_15m_sparse-al_flexure-Mdsag-,drone/al_flexure,D180_15m_sparse,all mirrors dsag=-1max,112,15.538229035284562,6.385622828155499,1.4365453798953043,0.9728484915211857,PASS
D180_15m_sparse-al_flexure-Mdax+,drone/al_flexure,D180_15m_sparse,all mirrors dax=+1max,112,15.520531253293585,6.202509190540788,1.442015316788092,0.5542451124770686,PASS
D180_15m_sparse-al_flexure-Mdax-,drone/al_flexure,D180_15m_sparse,all mirrors dax=-1max,112,15.55593590110636,6.2225888494009665,1.572318874143396,0.5621890034868449,PASS
D180_15m_sparse-al_flexure-Mtiltt+,drone/al_flexure,D180_15m_sparse,all mirrors tiltt=+1max,112,15.538230367936746,6.3027782732412545,1.5915946073437501,1.0235972347926516,PASS
D180_15m_sparse-al_flexure-Mtiltt-,drone/al_flexure,D180_15m_sparse,all mirrors tiltt=-1max,112,15.53823162738938,6.305514677506292,1.6105955564009558,1.0235919887645826,PASS
D180_15m_sparse-al_flexure-Mtilts+,drone/al_flexure,D180_15m_sparse,all mirrors tilts=+1max,112,15.538228050168813,6.277611091040073,1.6270662969525647,0.9918288807317508,PASS
D180_15m_sparse-al_flexure-Mtilts-,drone/al_flexure,D180_15m_sparse,all mirrors tilts=-1max,112,15.538232406355304,6.32849898022484,1.6189276041719436,0.9919865385508546,PASS
D180_15m_sparse-al_flexure-Lofft+,drone/al_flexure,D180_15m_sparse,launch input_offset_t=+1max,112,15.538247524919349,6.356944687155507,1.5918423280011802,0.9550246467431841,PASS
D180_15m_sparse-al_flexure-Lofft-,drone/al_flexure,D180_15m_sparse,launch input_offset_t=-1max,112,15.538213476300145,6.244396785820648,1.6006323244453613,0.955716990315896,PASS
D180_15m_sparse-al_flexure-Loffz+,drone/al_flexure,D180_15m_sparse,launch input_offset_z=+1max,112,15.538229561451548,6.299586425591752,1.6456398496962945,0.9546805619291505,PASS
D180_15m_sparse-al_flexure-Loffz-,drone/al_flexure,D180_15m_sparse,launch input_offset_z=-1max,112,15.538231380117846,6.30869465236031,1.591700423463726,0.9547352810471144,PASS
D180_15m_sparse-al_flexure-Langt+,drone/al_flexure,D180_15m_sparse,launch input_angle=+1max,112,15.538235776659265,6.327492687397676,1.616072486479856,1.0234028669729929,PASS
D180_15m_sparse-al_flexure-Langt-,drone/al_flexure,D180_15m_sparse,launch input_angle=-1max,112,15.53822521619484,6.2807473874493835,1.631190335266223,1.0234311782705567,PASS
D180_15m_sparse-al_flexure-Langs+,drone/al_flexure,D180_15m_sparse,launch input_angle_sag=+1max,112,15.538230712418706,6.288603645120226,1.6462840856612555,1.0235415244218253,PASS
D180_15m_sparse-al_flexure-Langs-,drone/al_flexure,D180_15m_sparse,launch input_angle_sag=-1max,112,15.538230281894512,6.3195750278827365,1.6010227169145557,1.0234645092895334,PASS
